"tradetype","districtofficecode","districtofficename","countryoforigin","countryoforiginname","countryofdestination","countryofdestinationname","tariff","statisticalunit","transportcode","transportcodedescription","yearmonth","calendaryear","tariffanddescription","statisticalquantity","customsvalue","worldregion"
"Imports","DFM","Cape Town Int Airport","FR","France","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","754.9","54228","EUROPE"
"Imports","JHB","Johannesburg","CN","China","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","5000","83537","ASIA"
"Imports","GMR","Germiston/Alberton","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","40000","1048612","EUROPE"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","2270","132634","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","4","87","EUROPE"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","22","3308","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","29","3020","AFRICA"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","440.66","26560","EUROPE"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","640","42846","EUROPE"
"Imports","GMR","Germiston/Alberton","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","29466.3","812616","EUROPE"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","84860","2046419","ASIA"
"Imports","DFM","Cape Town Int Airport","MG","Madagascar","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","1437.5","83665","AFRICA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","2","2788","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","81.66","1315","AFRICA"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","18062010","KG","03","Road","201102","2011","18062010 - Chocolate and sugar confectionery containing cocoa","2","90","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","US","United States","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","0.5","7","AMERICA"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","308.7","17139","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","568","58360","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","TR","Turkey","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","50","6522","ASIA"
"Imports","JSA","O.R. Tambo Int Airport","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","0.04","117","EUROPE"
"Imports","JHB","Johannesburg","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","21.6","2193","EUROPE"
"Imports","DFM","Cape Town Int Airport","FR","France","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","689.3","57218","EUROPE"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","10000","190605","ASIA"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","23600","1007806","EUROPE"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","3637.55","273012","EUROPE"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","61","424","AFRICA"
"Imports","DBN","Durban","AR","Argentina","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","9934.36","128908","AMERICA"
"Imports","CTN","Cape Town","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","300","16350","EUROPE"
"Imports","CTN","Cape Town","NL","Netherlands","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","22","267","EUROPE"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","3459.71","172681","EUROPE"
"Imports","BDG","Border Gate","SZ","Swaziland","ZA","South Africa","18062010","KG","03","Road","201103","2011","18062010 - Chocolate and sugar confectionery containing cocoa","48","1923","AFRICA"
"Imports","DBN","Durban","IL","Israel","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","776","9916","ASIA"
"Imports","DBN","Durban","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","80","5812","EUROPE"
"Imports","DBN","Durban","ES","Spain","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","500","14990","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","44513","1541026","EUROPE"
"Imports","DBN","Durban","NL","Netherlands","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","504","24353","EUROPE"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","1648.29","117899","EUROPE"
"Imports","DBN","Durban","US","United States","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","13.76","253","AMERICA"
"Imports","DBN","Durban","TR","Turkey","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","8535","147511","ASIA"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","12500","284315","ASIA"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","6076.63","371791","EUROPE"
"Imports","DFM","Cape Town Int Airport","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","30","2687","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","CA","Canada","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","0.05","72","AMERICA"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","250","42133","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201104","2011","18062010 - Chocolate and sugar confectionery containing cocoa","258","1127","AFRICA"
"Imports","CTN","Cape Town","BR","Brazil","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","3900","89677","AMERICA"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","852.5","50415","EUROPE"
"Imports","CTN","Cape Town","DE","Germany","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","38.77","4443","EUROPE"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","2880","197573","EUROPE"
"Imports","CTN","Cape Town","NL","Netherlands","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","6","206","EUROPE"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","990","55509","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","28043","856147","EUROPE"
"Imports","DBN","Durban","ES","Spain","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","10160","343810","EUROPE"
"Imports","DBN","Durban","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1890.7","30391","EUROPE"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","40000","1094441","ASIA"
"Imports","DBN","Durban","TR","Turkey","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","7296","107870","ASIA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","186","1189","AFRICA"
"Imports","JHB","Johannesburg","CN","China","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1386.72","16721","ASIA"
"Imports","JHB","Johannesburg","US","United States","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","975","74545","AMERICA"
"Imports","JSA","O.R. Tambo Int Airport","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","545","25587","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","5","2049","EUROPE"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","88.77","7602","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","130","1850","AFRICA"
"Imports","NAR","Narogas","NA","Namibia","ZA","South Africa","18062010","KG","03","Road","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","50","6300","AFRICA"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","18062010","KG","03","Road","201005","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1986","24219","AFRICA"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","18062010","KG","03","Road","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1056","26596","AFRICA"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1452.2","26086","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","US","United States","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","49","3008","AMERICA"
"Imports","JSA","O.R. Tambo Int Airport","NL","Netherlands","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","25","759","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","JP","Japan","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","0.12","3","ASIA"
"Imports","JSA","O.R. Tambo Int Airport","LB","Lebanon","ZA","South Africa","18062010","KG","04","Air","201107","2011","18062010 - Chocolate and sugar confectionery containing cocoa","75","2457","ASIA"
"Imports","JSA","O.R. Tambo Int Airport","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","255.13","24480","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","500","26025","EUROPE"
"Imports","GMR","Germiston/Alberton","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","17743","462492","EUROPE"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","74841.06","1964749","ASIA"
"Imports","DFM","Cape Town Int Airport","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1.53","660","EUROPE"
"Imports","DBN","Durban","PK","Pakistan","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1043.5","21092","ASIA"
"Imports","DBN","Durban","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","4194.09","7946","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","20850","761953","EUROPE"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","3000","179497","EUROPE"
"Imports","CTN","Cape Town","BR","Brazil","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201006","2010","18062010 - Chocolate and sugar confectionery containing cocoa","4880","68168","AMERICA"
